DATE,CAD12MD156N
2008-06-02,3.59000
2008-06-03,3.55500
2008-06-04,3.50000
2008-06-05,3.50000
2008-06-06,3.50000
2008-06-09,3.50000
2008-06-10,3.72500
2008-06-11,4.05000
2008-06-12,4.00000
2008-06-13,4.02333
2008-06-16,4.08333
2008-06-17,4.03833
2008-06-18,4.01000
2008-06-19,4.03333
2008-06-20,4.06333
2008-06-23,4.05000
2008-06-24,4.05000
2008-06-25,4.05000
2008-06-26,4.05000
2008-06-27,4.05000
2008-06-30,4.04333
2008-07-01,4.03333
2008-07-02,4.02667
2008-07-03,4.00000
2008-07-04,4.00000
2008-07-07,4.00000
2008-07-08,3.99833
2008-07-09,3.99167
2008-07-10,3.98833
2008-07-11,3.95333
2008-07-14,3.94333
2008-07-15,3.92167
2008-07-16,3.90000
2008-07-17,3.89333
2008-07-18,3.90000
2008-07-21,3.91000
2008-07-22,3.90000
2008-07-23,3.91500
2008-07-24,3.90167
2008-07-25,3.88000
2008-07-28,3.89667
2008-07-29,3.85000
2008-07-30,3.85000
2008-07-31,3.85000
2008-08-01,3.84833
2008-08-04,3.78667
2008-08-05,3.75000
2008-08-06,3.74167
2008-08-07,3.70667
2008-08-08,3.70000
2008-08-11,3.60000
2008-08-12,3.55500
2008-08-13,3.56000
2008-08-14,3.56500
2008-08-15,3.57500
2008-08-18,3.57333
2008-08-19,3.57000
2008-08-20,3.57000
2008-08-21,3.57000
2008-08-22,3.66667
2008-08-26,3.70000
2008-08-27,3.70000
2008-08-28,3.68000
2008-08-29,3.66500
2008-09-01,3.65833
2008-09-02,3.61500
2008-09-03,3.61333
2008-09-04,3.71833
2008-09-05,3.74500
2008-09-08,3.75000
2008-09-09,3.80000
2008-09-10,3.81667
2008-09-11,3.83000
2008-09-12,3.88000
2008-09-15,3.85833
2008-09-16,3.77833
2008-09-17,3.96000
2008-09-18,4.03667
2008-09-19,4.20000
2008-09-22,4.30000
2008-09-23,4.30000
2008-09-24,4.59167
2008-09-25,4.70000
2008-09-26,4.70000
2008-09-29,4.72833
2008-09-30,4.80000
2008-10-01,4.70833
2008-10-02,4.75833
2008-10-03,4.70000
2008-10-06,4.70000
2008-10-07,4.43000
2008-10-08,4.34333
2008-10-09,3.97833
2008-10-10,3.96000
2008-10-13,4.07333
2008-10-14,4.10000
2008-10-15,4.14500
2008-10-16,4.04167
2008-10-17,4.07833
2008-10-20,3.96333
2008-10-21,3.69833
2008-10-22,3.50000
2008-10-23,3.43333
2008-10-24,3.44500
2008-10-27,3.41667
2008-10-28,3.42000
2008-10-29,3.35167
2008-10-30,3.27167
2008-10-31,3.16667
2008-11-03,3.20167
2008-11-04,3.25000
2008-11-05,3.33500
2008-11-06,3.34833
2008-11-07,3.30500
2008-11-10,3.34167
2008-11-11,3.37333
2008-11-12,3.38000
2008-11-13,3.37333
2008-11-14,3.35000
2008-11-17,3.36333
2008-11-18,3.39000
2008-11-19,3.39333
2008-11-20,3.39167
2008-11-21,3.25167
2008-11-24,3.20000
2008-11-25,3.16667
2008-11-26,3.07000
2008-11-27,3.02000
2008-11-28,3.00667
2008-12-01,2.93167
2008-12-02,2.88667
2008-12-03,2.86667
2008-12-04,2.90000
2008-12-05,2.87500
2008-12-08,2.90000
2008-12-09,2.93333
2008-12-10,2.85000
2008-12-11,2.90000
2008-12-12,2.81667
2008-12-15,2.85000
2008-12-16,2.85000
2008-12-17,2.80000
2008-12-18,2.73167
2008-12-19,2.64167
2008-12-22,2.63833
2008-12-23,2.60000
2008-12-24,2.56333
2008-12-29,2.53833
2008-12-30,2.51000
2008-12-31,2.46667
2009-01-02,2.41667
2009-01-05,2.36667
2009-01-06,2.27500
2009-01-07,2.26833
2009-01-08,2.26333
2009-01-09,2.26000
2009-01-12,2.21500
2009-01-13,2.17000
2009-01-14,2.14833
2009-01-15,2.15000
2009-01-16,2.15000
2009-01-19,2.10000
2009-01-20,2.10000
2009-01-21,2.10000
2009-01-22,2.10000
2009-01-23,2.13333
2009-01-26,2.19667
2009-01-27,2.24167
2009-01-28,2.25833
2009-01-29,2.28167
2009-01-30,2.30000
2009-02-02,2.32111
2009-02-03,2.27500
2009-02-04,2.27833
2009-02-05,2.23333
2009-02-06,2.23167
2009-02-09,2.15000
2009-02-10,2.18667
2009-02-11,2.20000
2009-02-12,2.20000
2009-02-13,2.20667
2009-02-16,2.21833
2009-02-17,2.22833
2009-02-18,2.24467
2009-02-19,2.25000
2009-02-20,2.27333
2009-02-23,2.25000
2009-02-24,2.25000
2009-02-25,2.25000
2009-02-26,2.25000
2009-02-27,2.25000
2009-03-02,2.25000
2009-03-03,2.21333
2009-03-04,2.14500
2009-03-05,2.13833
2009-03-06,2.09333
2009-03-09,2.10000
2009-03-10,2.10000
2009-03-11,2.07167
2009-03-12,2.10000
2009-03-13,2.10000
2009-03-16,2.10000
2009-03-17,2.10000
2009-03-18,2.12667
2009-03-19,2.06667
2009-03-20,2.04167
2009-03-23,2.05000
2009-03-24,2.05000
2009-03-25,2.05000
2009-03-26,2.05000
2009-03-27,2.00667
2009-03-30,2.00000
2009-03-31,1.97500
2009-04-01,1.97167
2009-04-02,1.98667
2009-04-03,2.00000
2009-04-06,2.00000
