DATE,CAD1MTD156N
2008-06-02,3.10000
2008-06-03,3.08833
2008-06-04,3.05000
2008-06-05,3.00333
2008-06-06,3.00000
2008-06-09,3.00000
2008-06-10,3.02667
2008-06-11,3.20000
2008-06-12,3.20000
2008-06-13,3.20000
2008-06-16,3.20000
2008-06-17,3.20000
2008-06-18,3.20000
2008-06-19,3.20000
2008-06-20,3.20000
2008-06-23,3.20000
2008-06-24,3.20000
2008-06-25,3.20000
2008-06-26,3.20000
2008-06-27,3.20000
2008-06-30,3.20000
2008-07-01,3.20000
2008-07-02,3.20000
2008-07-03,3.20000
2008-07-04,3.20000
2008-07-07,3.18333
2008-07-08,3.19500
2008-07-09,3.19667
2008-07-10,3.19667
2008-07-11,3.18000
2008-07-14,3.18000
2008-07-15,3.17667
2008-07-16,3.14000
2008-07-17,3.13833
2008-07-18,3.13500
2008-07-21,3.12167
2008-07-22,3.13167
2008-07-23,3.11167
2008-07-24,3.13833
2008-07-25,3.12250
2008-07-28,3.14333
2008-07-29,3.14500
2008-07-30,3.14500
2008-07-31,3.14667
2008-08-01,3.13500
2008-08-04,3.10083
2008-08-05,3.09667
2008-08-06,3.14333
2008-08-07,3.15000
2008-08-08,3.14167
2008-08-11,3.12167
2008-08-12,3.10917
2008-08-13,3.10333
2008-08-14,3.10333
2008-08-15,3.10500
2008-08-18,3.10500
2008-08-19,3.10333
2008-08-20,3.10000
2008-08-21,3.09667
2008-08-22,3.10000
2008-08-26,3.08917
2008-08-27,3.10000
2008-08-28,3.10000
2008-08-29,3.10000
2008-09-01,3.09667
2008-09-02,3.10000
2008-09-03,3.10000
2008-09-04,3.10667
2008-09-05,3.11500
2008-09-08,3.14000
2008-09-09,3.14500
2008-09-10,3.17333
2008-09-11,3.18000
2008-09-12,3.20333
2008-09-15,3.20500
2008-09-16,3.27500
2008-09-17,3.55333
2008-09-18,3.64500
2008-09-19,3.60000
2008-09-22,3.60000
2008-09-23,3.64167
2008-09-24,3.80000
2008-09-25,3.88667
2008-09-26,3.90000
2008-09-29,3.93333
2008-09-30,3.99667
2008-10-01,4.00000
2008-10-02,4.00000
2008-10-03,4.00000
2008-10-06,4.05000
2008-10-07,4.00667
2008-10-08,4.00000
2008-10-09,3.75000
2008-10-10,3.80000
2008-10-13,3.86667
2008-10-14,4.03333
2008-10-15,4.00000
2008-10-16,3.80000
2008-10-17,3.78333
2008-10-20,3.52500
2008-10-21,3.28333
2008-10-22,3.01167
2008-10-23,3.00000
2008-10-24,3.00000
2008-10-27,2.93167
2008-10-28,3.00000
2008-10-29,3.00000
2008-10-30,3.00000
2008-10-31,3.04333
2008-11-03,3.00000
2008-11-04,3.00000
2008-11-05,3.09333
2008-11-06,3.09833
2008-11-07,3.10000
2008-11-10,3.10000
2008-11-11,3.10000
2008-11-12,3.10000
2008-11-13,3.09333
2008-11-14,3.03500
2008-11-17,3.00500
2008-11-18,3.00000
2008-11-19,2.91667
2008-11-20,2.81667
2008-11-21,2.81000
2008-11-24,2.76667
2008-11-25,2.61667
2008-11-26,2.45833
2008-11-27,2.51667
2008-11-28,2.51833
2008-12-01,2.50000
2008-12-02,2.50000
2008-12-03,2.50000
2008-12-04,2.50000
2008-12-05,2.50000
2008-12-08,2.50000
2008-12-09,2.50000
2008-12-10,2.30000
2008-12-11,2.37500
2008-12-12,2.33333
2008-12-15,2.30000
2008-12-16,2.30000
2008-12-17,2.30000
2008-12-18,2.21667
2008-12-19,2.20000
2008-12-22,2.20000
2008-12-23,2.10000
2008-12-24,2.06667
2008-12-29,2.03167
2008-12-30,2.04167
2008-12-31,2.04667
2009-01-02,1.99167
2009-01-05,1.89167
2009-01-06,1.76000
2009-01-07,1.73667
2009-01-08,1.60000
2009-01-09,1.60000
2009-01-12,1.56833
2009-01-13,1.50833
2009-01-14,1.50000
2009-01-15,1.50000
2009-01-16,1.43333
2009-01-19,1.40500
2009-01-20,1.40000
2009-01-21,1.30000
2009-01-22,1.30000
2009-01-23,1.30000
2009-01-26,1.35000
2009-01-27,1.37500
2009-01-28,1.38333
2009-01-29,1.40000
2009-01-30,1.40000
2009-02-02,1.40000
2009-02-03,1.40000
2009-02-04,1.37500
2009-02-05,1.35000
2009-02-06,1.25833
2009-02-09,1.17167
2009-02-10,1.19500
2009-02-11,1.20000
2009-02-12,1.22000
2009-02-13,1.21667
2009-02-16,1.22833
2009-02-17,1.27500
2009-02-18,1.27250
2009-02-19,1.27500
2009-02-20,1.28833
2009-02-23,1.25500
2009-02-24,1.22500
2009-02-25,1.19667
2009-02-26,1.20000
2009-02-27,1.20000
2009-03-02,1.03333
2009-03-03,0.97500
2009-03-04,0.90000
2009-03-05,0.90000
2009-03-06,0.90000
2009-03-09,0.90000
2009-03-10,0.81667
2009-03-11,0.80000
2009-03-12,0.80000
2009-03-13,0.80000
2009-03-16,0.82667
2009-03-17,0.85833
2009-03-18,0.86333
2009-03-19,0.84833
2009-03-20,0.85000
2009-03-23,0.85000
2009-03-24,0.85000
2009-03-25,0.85000
2009-03-26,0.85000
2009-03-27,0.81667
2009-03-30,0.80167
2009-03-31,0.73000
2009-04-01,0.72667
2009-04-02,0.72000
2009-04-03,0.72500
2009-04-06,0.71167
2009-04-07,0.70000
2009-04-08,0.70000
2009-04-09,0.70000
2009-04-14,0.70000
2009-04-15,0.68167
2009-04-16,0.66000
2009-04-17,0.65167
2009-04-20,0.65000
2009-04-21,0.63000
2009-04-22,0.40667
2009-04-23,0.41167
2009-04-24,0.43833
2009-04-27,0.44333
2009-04-28,0.44833
2009-04-29,0.44833
2009-04-30,0.45000
2009-05-01,0.45000
2009-05-05,0.40667
2009-05-06,0.40000
2009-05-07,0.40000
2009-05-08,0.40000
2009-05-11,0.40000
2009-05-12,0.40000
2009-05-13,0.40000
2009-05-14,0.40000
2009-05-15,0.40000
2009-05-18,0.39833
2009-05-19,0.40000
2009-05-20,0.40000
2009-05-21,0.37500
2009-05-22,0.39500
2009-05-26,0.40000
2009-05-27,0.40000
2009-05-28,0.40000
2009-05-29,0.40000
2009-06-01,0.40000
2009-06-02,0.37167
2009-06-03,0.35833
2009-06-04,0.35333
2009-06-05,0.33333
2009-06-08,0.35333
2009-06-09,0.32667
2009-06-10,0.32000
2009-06-11,0.32000
2009-06-12,0.33333
2009-06-15,0.33500
2009-06-16,0.34500
2009-06-17,0.34333
2009-06-18,0.33333
2009-06-19,0.32167
2009-06-22,0.32833
2009-06-23,0.32333
2009-06-24,0.32167
2009-06-25,0.32000
2009-06-26,0.31833
2009-06-29,0.32000
2009-06-30,0.31833
2009-07-01,0.31500
2009-07-02,0.31833
2009-07-03,0.31500
2009-07-06,0.31000
2009-07-07,0.30667
2009-07-08,0.30333
2009-07-09,0.30500
2009-07-10,0.30167
2009-07-13,0.30000
2009-07-14,0.30000
2009-07-15,0.30000
2009-07-16,0.30000
2009-07-17,0.30000
2009-07-20,0.30000
2009-07-21,0.30000
2009-07-22,0.30000
2009-07-23,0.30000
2009-07-24,0.30000
2009-07-27,0.30000
2009-07-28,0.30167
2009-07-29,0.30000
2009-07-30,0.30000
2009-07-31,0.30167
2009-08-03,0.30000
2009-08-04,0.30000
2009-08-05,0.30000
2009-08-06,0.30000
2009-08-07,0.30000
2009-08-10,0.30167
2009-08-11,0.30500
2009-08-12,0.30500
2009-08-13,0.30500
2009-08-14,0.30500
2009-08-17,0.30500
2009-08-18,0.30333
2009-08-19,0.30333
2009-08-20,0.30333
2009-08-21,0.30333
2009-08-24,0.30167
2009-08-25,0.30333
2009-08-26,0.30333
2009-08-27,0.30167
2009-08-28,0.30167
2009-09-01,0.30000
2009-09-02,0.30000
2009-09-03,0.30000
2009-09-04,0.30000
2009-09-07,0.30000
2009-09-08,0.30000
2009-09-09,0.30000
2009-09-10,0.30000
2009-09-11,0.30000
2009-09-14,0.30000
2009-09-15,0.30000
2009-09-16,0.30000
2009-09-17,0.30000
2009-09-18,0.30000
2009-09-21,0.30000
2009-09-22,0.30000
2009-09-23,0.30000
2009-09-24,0.30000
2009-09-25,0.30000
2009-09-28,0.30000
2009-09-29,0.30000
2009-09-30,0.30000
2009-10-01,0.30000
2009-10-02,0.30000
2009-10-05,0.30000
2009-10-06,0.30000
2009-10-07,0.30000
2009-10-08,0.30000
2009-10-09,0.30000
2009-10-12,0.30000
2009-10-13,0.30000
2009-10-14,0.30000
2009-10-15,0.30000
2009-10-16,0.30000
2009-10-19,0.30000
2009-10-20,0.30000
2009-10-21,0.30000
2009-10-22,0.30000
2009-10-23,0.30000
2009-10-26,0.30000
2009-10-27,0.30000
2009-10-28,0.30000
2009-10-29,0.30000
2009-10-30,0.30000
2009-11-02,0.30000
2009-11-03,0.30000
2009-11-04,0.30000
2009-11-05,0.30000
2009-11-06,0.30000
2009-11-09,0.30000
2009-11-10,0.29833
2009-11-11,0.30000
2009-11-12,0.29833
2009-11-13,0.30000
2009-11-16,0.30000
2009-11-17,0.30000
2009-11-18,0.30000
2009-11-19,0.29833
2009-11-20,0.30000
2009-11-23,0.29667
2009-11-24,0.29333
2009-11-25,0.29167
2009-11-26,0.29167
2009-11-27,0.29333
2009-11-30,0.29500
2009-12-01,0.29917
2009-12-02,0.30000
2009-12-03,0.30000
2009-12-04,0.29917
2009-12-07,0.30000
2009-12-08,0.30000
2009-12-09,0.30000
2009-12-10,0.29667
2009-12-11,0.30000
2009-12-14,0.30000
2009-12-15,0.30000
2009-12-16,0.30000
2009-12-17,0.30000
2009-12-18,0.30000
2009-12-21,0.30000
2009-12-22,0.30000
2009-12-23,0.30000
2009-12-24,0.30000
2009-12-29,0.30000
2009-12-30,0.29833
2009-12-31,0.29833
2010-01-04,0.29833
2010-01-05,0.29833
2010-01-06,0.29833
2010-01-07,0.29833
2010-01-08,0.29833
2010-01-11,0.30000
2010-01-12,0.29833
2010-01-13,0.29667
2010-01-14,0.29667
2010-01-15,0.29833
2010-01-18,0.29667
2010-01-19,0.29667
2010-01-20,0.29833
2010-01-21,0.29833
2010-01-22,0.29833
2010-01-25,0.29833
2010-01-26,0.30000
2010-01-27,0.30000
2010-01-28,0.30000
2010-01-29,0.30000
2010-02-01,0.30000
2010-02-02,0.30000
2010-02-03,0.29833
2010-02-04,0.30000
2010-02-05,0.30000
2010-02-08,0.30000
2010-02-09,0.30000
2010-02-10,0.30000
2010-02-11,0.30000
2010-02-12,0.30000
2010-02-15,0.30000
2010-02-16,0.30000
2010-02-17,0.30000
2010-02-18,0.30000
2010-02-19,0.30000
2010-02-22,0.30333
2010-02-23,0.30833
2010-02-24,0.31000
2010-02-25,0.31000
2010-02-26,0.30667
2010-03-01,0.30667
2010-03-02,0.30333
2010-03-03,0.30083
2010-03-04,0.29833
2010-03-05,0.29917
2010-03-08,0.30000
2010-03-09,0.29833
2010-03-10,0.30000
2010-03-11,0.30000
2010-03-12,0.30000
2010-03-15,0.30333
2010-03-16,0.31083
2010-03-17,0.31167
2010-03-18,0.31167
2010-03-19,0.31333
2010-03-22,0.31500
2010-03-23,0.32000
2010-03-24,0.32000
2010-03-25,0.32167
2010-03-26,0.32167
2010-03-29,0.32333
2010-03-30,0.32667
2010-03-31,0.32833
2010-04-01,0.36563
2010-04-06,0.36563
2010-04-07,0.36500
2010-04-08,0.37000
2010-04-09,0.36625
2010-04-12,0.36688
2010-04-13,0.36688
2010-04-14,0.36938
2010-04-15,0.36938
2010-04-16,0.37063
2010-04-19,0.36625
2010-04-20,0.36688
2010-04-21,0.36813
2010-04-22,0.36688
2010-04-23,0.36875
2010-04-26,0.36750
2010-04-27,0.36875
2010-04-28,0.37250
